,Start,Stop,P(Bx),P(By),P(Bz),P(Vx),P(Vy),P(Vz),P(n),P(T),Offset (Bx),Offset (By),Offset (Bz),Offset (Vx),Offset (Vy),Offset (Vz),Offset (n),Offset (T),Avg Bx,Avg By,Avg Bz,Avg Vx,Avg Vy,Avg Vz,Avg n,Avg T
10,2014-02-27 17:10:00,2014-02-27 18:10:00,0.6540963757867095,0.4504657330893584,0.6376357825235757,0.7819188090379042,0.6124794241442383,0.515528752334613,0.8904072020221087,0.4143585293428046,1,16,2,5,19,4,13,16,6.117249488830566,-10.740583419799805,0.6185833215713501,-423.5683288574219,-77.35834503173828,8.59749984741211,30.96274757385254,133038.671875
11,2014-02-27 17:11:00,2014-02-27 18:11:00,0.6963348601490191,0.4195768741004482,0.6473515744847015,0.8052159455604839,0.5753487509714696,0.5064448991925946,0.8844593677868505,0.4159938269611831,1,3,2,5,19,4,13,16,6.048750400543213,-10.598583221435547,0.8130834102630615,-424.2599792480469,-76.95500183105469,8.825833320617676,30.5987491607666,133188.6875
12,2014-02-27 17:12:00,2014-02-27 18:12:00,0.7386141407111931,0.4433013876986523,0.6549592002840319,0.8219984895269007,0.5542537692627839,0.5062025638639879,0.8712604032260656,0.38960173677642357,1,4,2,5,19,3,13,16,6.0029168128967285,-10.419583320617676,1.0400832891464233,-424.8816833496094,-76.6816635131836,8.902499198913574,30.223751068115234,133652.171875
13,2014-02-27 17:13:00,2014-02-27 18:13:00,0.7699576276833247,0.46337681814745607,0.6644151371563559,0.8278037101827631,0.5469852321816527,0.49687026591005806,0.8541294489351112,0.36624316423739733,1,4,2,4,19,3,13,1,6.007082462310791,-10.282418251037598,1.2839164733886719,-425.3849792480469,-76.53666687011719,9.20083236694336,29.881750106811523,134291.484375
14,2014-02-27 17:14:00,2014-02-27 18:14:00,0.7902114727352073,0.4814986507441826,0.6739215017929462,0.8373561932436389,0.5359933535692591,0.4909106133218088,0.8345719339367335,0.40199735575094864,2,4,2,4,19,3,13,1,6.0085835456848145,-10.107418060302734,1.5252498388290405,-426.0016784667969,-76.3800048828125,9.497499465942383,29.561582565307617,134956.3125
15,2014-02-27 17:15:00,2014-02-27 18:15:00,0.8235990740503738,0.48940479665744613,0.6791695832184216,0.8524589306715856,0.5277007962433702,0.4901565225382904,0.8085289397268478,0.3922646156410935,4,4,2,4,19,3,13,0,5.942916393280029,-9.917083740234375,1.7715834379196167,-426.6866760253906,-76.29000091552734,9.797499656677246,29.239917755126953,135383.4375
16,2014-02-27 17:16:00,2014-02-27 18:16:00,0.8436799637426976,0.4855913685353412,0.6928864315171342,0.868581178890589,0.5383075973904371,0.49384706105169773,0.7745325786658839,0.4103204917039577,4,4,2,4,3,3,13,0,5.8775835037231445,-9.810916900634766,1.9797499179840088,-427.4466552734375,-76.15333557128906,10.015833854675293,28.92291831970215,135966.0
17,2014-02-27 17:17:00,2014-02-27 18:17:00,0.8464554856024528,0.4622445712436567,0.696443581660094,0.8793362705203933,0.5344224664884252,0.4938557641587851,0.7220659649744723,0.4861015829959539,4,5,2,5,3,3,14,1,5.805417060852051,-9.673583030700684,2.1995835304260254,-428.1416320800781,-76.08333587646484,10.264166831970215,28.533754348754883,137093.265625
18,2014-02-27 17:18:00,2014-02-27 18:18:00,0.8632191855249601,0.43547047902366465,0.6937288611582743,0.8927562203515447,0.5289670648574115,0.4921607362691118,0.6620775149168829,0.5541157959146208,4,6,3,5,19,3,14,2,5.729083061218262,-9.532915115356445,2.3795835971832275,-428.9366455078125,-76.20499420166016,10.627500534057617,28.1995849609375,138600.453125
19,2014-02-27 17:19:00,2014-02-27 18:19:00,0.8690007581519399,0.43720519674659536,0.6847812601716042,0.9050497918243589,0.5144029622266432,0.49321492543432294,0.5950740489339374,0.6062995121173126,4,4,3,5,19,3,13,2,5.736749649047852,-9.598750114440918,2.5195834636688232,-429.7533264160156,-76.30500030517578,10.950835227966309,27.899751663208008,140078.171875
20,2014-02-27 17:20:00,2014-02-27 18:20:00,0.8726303959169665,0.4441635083723802,0.6395014773885092,0.9112718743048516,0.5372113310544103,0.4853262449236596,0.5930047505402618,0.6261335970576053,6,4,4,5,19,3,11,2,5.7489166259765625,-9.685749053955078,2.594916820526123,-430.47833251953125,-75.88500213623047,10.792500495910645,27.602083206176758,140619.109375
21,2014-02-27 17:21:00,2014-02-27 18:21:00,0.8736206097497625,0.429520780177289,0.5932985572380542,0.9165350672354176,0.5636469940477981,0.47391687666346943,0.6317866615348291,0.6429888816209633,6,4,3,5,19,3,10,2,5.714082717895508,-9.742918014526367,2.794250249862671,-431.22662353515625,-75.46500396728516,10.577500343322754,27.321582794189453,141226.15625
22,2014-02-27 17:22:00,2014-02-27 18:22:00,0.8679880205191298,0.43455068685758785,0.5645075657691189,0.9181629210949387,0.5673296040175502,0.4627138802311907,0.6423930016174005,0.6583165302023429,6,5,3,5,19,3,10,2,5.590583324432373,-9.734583854675293,2.9590835571289062,-431.8699951171875,-75.11167907714844,10.401666641235352,27.141582489013672,142036.40625
23,2014-02-27 17:23:00,2014-02-27 18:23:00,0.8641180817840008,0.44260233612899313,0.5368100824743736,0.9152540865433464,0.5348528697019633,0.46439706684734205,0.592514100480972,0.6696355532156323,6,5,3,5,19,3,11,2,5.509082317352295,-9.753583908081055,3.099750280380249,-432.32666015625,-74.7850112915039,10.410000801086426,27.00058364868164,142404.171875
24,2014-02-27 17:24:00,2014-02-27 18:24:00,0.8653829921716845,0.45326600651261667,0.5381190938641306,0.9180132882204292,0.5508010226249463,0.4707532079785989,0.6194598925871978,0.6832934102348817,7,5,3,5,19,3,10,2,5.460249423980713,-9.81308364868164,3.090583324432373,-432.92999267578125,-74.25333404541016,10.523332595825195,26.759918212890625,142838.078125
25,2014-02-27 17:25:00,2014-02-27 18:25:00,0.8648995900854987,0.47026620591834006,0.540238391632939,0.9192862551194878,0.5914019789002437,0.5025075907167786,0.6878562591921206,0.6694409349612068,7,5,3,5,19,2,11,2,5.442248821258545,-9.934250831604004,3.08258318901062,-433.7516174316406,-73.6883316040039,11.045000076293945,26.497251510620117,143252.171875
26,2014-02-27 17:26:00,2014-02-27 18:26:00,0.8668474994174886,0.48709130192139477,0.5425878693180852,0.9204628518729576,0.6161995928517453,0.5468967015739669,0.7363850810014534,0.6525286604410494,7,5,3,5,19,2,11,2,5.398916721343994,-10.062749862670898,3.0672497749328613,-434.5816650390625,-73.16999816894531,11.576666831970215,26.230083465576172,143615.40625
27,2014-02-27 17:27:00,2014-02-27 18:27:00,0.8685593427174753,0.5003390894462347,0.545719123268358,0.9204540268282199,0.6404004375262927,0.5900553649018635,0.7711838212503427,0.6383562477802931,7,5,3,5,19,2,11,1,5.371249675750732,-10.160416603088379,3.0404164791107178,-435.48663330078125,-72.5433349609375,12.043334007263184,25.900249481201172,143920.59375
28,2014-02-27 17:28:00,2014-02-27 18:28:00,0.8685665489488614,0.5141832351499,0.5518074116735281,0.9247994413489747,0.6595550541714679,0.6398936575536345,0.7971469502379663,0.6348650306295484,7,5,3,5,19,2,10,0,5.342083930969238,-10.279083251953125,2.9887499809265137,-436.2016906738281,-71.99667358398438,12.51833438873291,25.618919372558594,144372.390625
29,2014-02-27 17:29:00,2014-02-27 18:29:00,0.8676500921631662,0.5414010194430815,0.5744263760806524,0.9295114377009474,0.6755606269834556,0.695178841149159,0.8157885821074492,0.6326760071861888,7,5,3,5,19,2,10,0,5.279417037963867,-10.484416961669922,2.8245832920074463,-436.90167236328125,-71.4483413696289,12.953333854675293,25.3469181060791,144817.015625
